Site ID,Screening Flag,Parameter Group,Location Group Name,Field Sample ID,Location ID,Sample Date,Parameter Name,Report Result,Report Units,Lab Qualifier,Detected,Sample Matrix,Sample Purpose,Sample Type,Sample Time,Sample Usage Code,Latitude (Decimal),Longitude (Decimal),Filtered,Field Preparation Code,Field Sample Comments,Lab Matrix,COC #,Lab Method,Report Detection Limit
"N3B","N","GEN_CHEM","StreamGages_Sandia","WT_LAP-24-319668","Sandia left fork at Asph Plant","06-09-2024","Alkalinity-CO3+HCO3","22.5","mg/L",,"Y","W","REG","WT","15:57","INV","35.875414000000","-106.318515900000","N","UF",,"W","N3B-2024-3352","EPA:310.1","2.00"
"N3B","N","GEN_CHEM","StreamGages_Sandia","WT_LAP-24-321348","Sandia left fork at Asph Plant","06-29-2024","Suspended Sediment Concentration","34.2","mg/L",,"Y","W","REG","WT","19:04","INV","35.875414000000","-106.318515900000","N","UF"," Counts: 396","W","N3B-2024-3849","ASTM:D3977-97","5.0"
"N3B","N","GEN_CHEM","StreamGages_Sandia","WT_LAP-24-321347","Sandia left fork at Asph Plant","06-29-2024","Suspended Sediment Concentration","51.1","mg/L",,"Y","W","REG","WT","18:44","INV","35.875414000000","-106.318515900000","N","UF"," Counts: 395","W","N3B-2024-3849","ASTM:D3977-97","5.0"
"N3B","N","GEN_CHEM","StreamGages_Sandia","WT_LAP-24-321346","Sandia left fork at Asph Plant","06-29-2024","Suspended Sediment Concentration","55.9","mg/L",,"Y","W","REG","WT","18:24","INV","35.875414000000","-106.318515900000","N","UF"," Counts: 395","W","N3B-2024-3849","ASTM:D3977-97","5.0"
"N3B","N","GEN_CHEM","StreamGages_Sandia","WT_LAP-24-321345","Sandia left fork at Asph Plant","06-29-2024","Suspended Sediment Concentration","60.0","mg/L",,"Y","W","REG","WT","18:22","INV","35.875414000000","-106.318515900000","N","UF"," Counts: 395","W","N3B-2024-3849","ASTM:D3977-97","5.0"
"N3B","N","GEN_CHEM","StreamGages_Sandia","WT_LAP-24-321344","Sandia left fork at Asph Plant","06-29-2024","Suspended Sediment Concentration","63.4","mg/L",,"Y","W","REG","WT","18:20","INV","35.875414000000","-106.318515900000","N","UF"," Counts: 391","W","N3B-2024-3849","ASTM:D3977-97","5.0"
"N3B","N","GEN_CHEM","StreamGages_Sandia","WT_LAP-24-321343","Sandia left fork at Asph Plant","06-29-2024","Suspended Sediment Concentration","68.6","mg/L",,"Y","W","REG","WT","18:18","INV","35.875414000000","-106.318515900000","N","UF"," Counts: 384","W","N3B-2024-3849","ASTM:D3977-97","5.0"
"N3B","N","GEN_CHEM","StreamGages_Sandia","WT_LAP-24-321342","Sandia left fork at Asph Plant","06-29-2024","Suspended Sediment Concentration","75.3","mg/L",,"Y","W","REG","WT","18:16","INV","35.875414000000","-106.318515900000","N","UF"," Counts: 383","W","N3B-2024-3849","ASTM:D3977-97","5.0"
"N3B","N","GEN_CHEM","StreamGages_Sandia","WT_LAP-24-338741","Sandia left fork at Asph Plant","09-05-2024","Alkalinity-HCO3","23.0","mg/L",,"Y","W","REG","WT","14:38","INV","35.875414000000","-106.318515900000","N","UF",,"W","N3B-2024-4886","EPA:310.1","2.00"
"N3B","N","GEN_CHEM","StreamGages_Sandia","WT_LAP-24-333893","Sandia left fork at Asph Plant","07-17-2024","Alkalinity-HCO3","26.4","mg/L",,"Y","W","REG","WT","17:28","INV","35.875414000000","-106.318515900000","N","UF"," SAMPLE COLLECTED SAMPLE RETRIEVED 360 counts ","W","N3B-2024-4186","EPA:310.1","2.00"
"N3B","N","GEN_CHEM","StreamGages_Sandia","WT_LAP-24-319741","Sandia left fork at Asph Plant","07-01-2024","Alkalinity-HCO3","24.4","mg/L",,"Y","W","REG","WT","17:48","INV","35.875414000000","-106.318515900000","N","UF"," SAMPLE COLLECTED SAMPLE RETRIEVED Counts 365","W","N3B-2024-3824","EPA:310.1","2.00"
"N3B","N","GEN_CHEM","StreamGages_Sandia","WT_LAP-24-321341","Sandia left fork at Asph Plant","06-29-2024","Suspended Sediment Concentration","89.5","mg/L",,"Y","W","REG","WT","18:14","INV","35.875414000000","-106.318515900000","N","UF"," Counts: 383","W","N3B-2024-3849","ASTM:D3977-97","5.0"
"N3B","N","GEN_CHEM","StreamGages_Sandia","WT_LAP-24-319740","Sandia left fork at Asph Plant","06-29-2024","Alkalinity-HCO3","32.9","mg/L",,"Y","W","REG","WT","18:08","INV","35.875414000000","-106.318515900000","N","UF"," Counts: 366","W","N3B-2024-3753","EPA:310.1","2.00"
"N3B","N","GEN_CHEM","StreamGages_Sandia","WT_LAP-24-319705","Sandia left fork at Asph Plant","06-27-2024","Alkalinity-HCO3","34.9","mg/L",,"Y","W","REG","WT","16:16","INV","35.875414000000","-106.318515900000","N","UF"," Counts: 360","W","N3B-2024-3723","EPA:310.1","2.00"
